word sentid sentpos wlen surp entropy entred
to 5 7 2 4.060097694396973 4.271486759185791 2.4648914337158203
school 5 8 6 10.614734649658203 6.347265243530273 0
? 5 9 1 2.9640469551086426 5.234532356262207 1.1127328872680664
how 6 0 3 10.581571578979492 3.88847279548645 0
does 6 1 4 5.690568923950195 7.624868869781494 0
will 6 2 4 9.45467758178711 7.4730224609375 0.15184640884399414
think 6 3 5 11.517949104309082 7.5362114906311035 0
that 6 4 4 3.346994638442993 6.718145847320557 0.8180656433105469
bill 6 5 4 14.35772705078125 7.2306013107299805 0
is 6 6 2 6.545560359954834 7.301018714904785 0
pregnant 6 7 8 14.25485897064209 6.612239837646484 0.6887788772583008
in 6 8 2 7.082861423492432 4.7356858253479 1.876554012298584
class 6 9 5 12.023746490478516 7.042421817779541 0
? 6 10 1 3.2452752590179443 6.756143569946289 0.28627824783325195
how 7 0 3 10.581571578979492 3.88847279548645 0
did 7 1 3 3.905769109725952 7.624868869781494 0
<unk> 7 2 5 4.23358154296875 7.898038387298584 0
claim 7 3 5 13.976930618286133 7.721424579620361 0.17661380767822266
that 7 4 4 2.2766835689544678 6.4404730796813965 1.2809514999389648
he 7 5 2 4.051913261413574 7.47475528717041 0
fell 7 6 4 13.361257553100586 6.945324897766113 0.5294303894042969
asleep 7 7 6 11.333656311035156 6.673637390136719 0.27168750762939453
in 7 8 2 4.9218010902404785 5.882539749145508 0.7910976409912109
class 7 9 5 13.310968399047852 6.9314775466918945 0
today 7 10 5 11.441679000854492 7.355205535888672 0
? 7 11 1 2.8072450160980225 6.376206398010254 0.978999137878418
how 8 0 3 10.581571578979492 3.88847279548645 0
does 8 1 4 5.690568923950195 7.624868869781494 0
someone 8 2 7 9.601311683654785 7.4730224609375 0.15184640884399414
who 8 3 3 4.086310386657715 5.855407238006592 1.6176152229309082
speaks 8 4 6 12.638229370117188 8.279881477355957 0
a 8 5 1 5.633220195770264 6.814098358154297 1.4657831192016602
<unk> 8 6 5 4.776083946228027 10.104727745056152 0
language 8 7 8 6.969953536987305 7.151319980621338 2.9534077644348145
solve 8 8 5 20.527408599853516 6.608425617218018 0.5428943634033203
by 8 9 2 9.101913452148438 7.502336025238037 0
<unk> 8 10 5 3.7894890308380127 8.341412544250488 0
analysis 8 11 8 14.691732406616211 6.478851318359375 1.8625612258911133
? 8 12 1 3.465380907058716 6.296827793121338 0.1820235252380371
how 9 0 3 10.581571578979492 3.88847279548645 0
does 9 1 4 5.690568923950195 7.624868869781494 0
<unk> 9 2 5 4.393003940582275 7.4730224609375 0.15184640884399414
claim 9 3 5 13.86254596710205 7.914114475250244 0
that 9 4 4 2.209371566772461 6.267310619354248 1.646803855895996
she 9 5 3 5.249227523803711 7.449202060699463 0
sleeps 9 6 6 16.803621292114258 7.2236199378967285 0.22558212280273438
with 9 7 4 5.289565086364746 6.188101768493652 1.0355181694030762
a 9 8 1 4.150123119354248 6.775333404541016 0
teddy 9 9 5 13.289620399475098 9.541827201843262 0
bear 9 10 4 3.7665536403656006 7.995907783508301 1.545919418334961
? 9 11 1 2.1856348514556885 5.784518718719482 2.2113890647888184
how 10 0 3 10.581571578979492 3.88847279548645 0
does 10 1 4 5.690568923950195 7.624868869781494 0
someone 10 2 7 9.601311683654785 7.4730224609375 0.15184640884399414
who 10 3 3 4.086310386657715 5.855407238006592 1.6176152229309082
speaks 10 4 6 12.638229370117188 8.279881477355957 0
a 10 5 1 5.633220195770264 6.814098358154297 1.4657831192016602
<unk> 10 6 5 4.776083946228027 10.104727745056152 0
language 10 7 8 6.969953536987305 7.151319980621338 2.9534077644348145
know 10 8 4 14.973236083984375 6.608425617218018 0.5428943634033203
beans 10 9 5 19.194881439208984 6.004733562469482 0.6036920547485352
and 10 10 3 5.652669906616211 6.8192973136901855 0
<unk> 10 11 5 4.106227397918701 8.183204650878906 0
? 10 12 1 2.989924192428589 6.556432723999023 1.6267719268798828
how 11 0 3 10.581571578979492 3.88847279548645 0
does 11 1 4 5.690568923950195 7.624868869781494 0
<unk> 11 2 5 4.393003940582275 7.4730224609375 0.15184640884399414
hear 11 3 4 11.844351768493652 7.914114475250244 0
<unk> 11 4 5 5.55490779876709 7.146427631378174 0.7676868438720703
and 11 5 3 6.507987022399902 7.131052017211914 0.015375614166259766
espresso 11 6 8 19.692873001098633 7.887894630432129 0
? 11 7 1 3.4795033931732178 7.695709705352783 0.1921849250793457
how 12 0 3 10.581571578979492 3.88847279548645 0
does 12 1 4 5.690568923950195 7.624868869781494 0
<unk> 12 2 5 4.393003940582275 7.4730224609375 0.15184640884399414
believe 12 3 7 10.948878288269043 7.914114475250244 0
<unk> 12 4 5 5.427822113037109 6.178203582763672 1.7359108924865723
and 12 5 3 6.917888641357422 7.12930965423584 0
espresso 12 6 8 19.77350425720215 7.586592197418213 0
? 12 7 1 3.666463613510132 7.730180740356445 0
how 13 0 3 10.581571578979492 3.88847279548645 0
did 13 1 3 3.905769109725952 7.624868869781494 0
she 13 2 3 6.110345363616943 7.898038387298584 0
know 13 3 4 10.120841026306152 7.301367282867432 0.5966711044311523
that 13 4 4 3.414515256881714 5.879363059997559 1.422004222869873
he 13 5 2 5.116508483886719 6.679820537567139 0
bought 13 6 6 12.478228569030762 6.687173366546631 0
a 13 7 1 4.471205711364746 6.170620441436768 0.5165529251098633
boat 13 8 4 12.129036903381348 9.395469665527344 0
yesterday 13 9 9 16.293785095214844 6.71361780166626 2.681851863861084
? 13 10 1 3.3232295513153076 6.694354057312012 0.019263744354248047
how 14 0 3 10.581571578979492 3.88847279548645 0
did 14 1 3 3.905769109725952 7.624868869781494 0
<unk> 14 2 5 4.23358154296875 7.898038387298584 0
claim 14 3 5 13.976930618286133 7.721424579620361 0.17661380767822266
that 14 4 4 2.2766835689544678 6.4404730796813965 1.2809514999389648
he 14 5 2 4.051913261413574 7.47475528717041 0
got 14 6 3 10.634521484375 6.945324897766113 0.5294303894042969
a 14 7 1 4.678309440612793 6.491241455078125 0.4540834426879883
perfect 14 8 7 10.222479820251465 10.006749153137207 0
score 14 9 5 11.24669361114502 8.393414497375488 1.6133346557617188
on 14 10 2 7.354221820831299 6.151486396789551 2.2419281005859375
the 14 11 3 3.7767245769500732 6.565417289733887 0
test 14 12 4 11.993398666381836 9.595044136047363 0
? 14 13 1 3.3468174934387207 7.278146266937256 2.3168978691101074
how 15 0 3 10.581571578979492 3.88847279548645 0
does 15 1 4 5.690568923950195 7.624868869781494 0
the 15 2 3 4.701126575469971 7.4730224609375 0.15184640884399414
discreet 15 3 8 18.229215621948242 10.40384292602539 0
party 15 4 5 11.026113510131836 10.419689178466797 0
think 15 5 5 13.915199279785156 7.575397491455078 2.8442916870117188
that 15 6 4 3.3601698875427246 7.178222179412842 0.39717531204223633
the 15 7 3 5.432504177093506 7.364248752593994 0
blue 15 8 4 11.793832778930664 10.290229797363281 0
trumpet 15 9 7 16.123701095581055 9.376297950744629 0.9139318466186523
met 15 10 3 14.087506294250488 7.073987007141113 2.3023109436035156
someone 15 11 7 9.313570976257324 6.631455421447754 0.4425315856933594
who 15 12 3 3.6873414516448975 4.276071548461914 2.35538387298584
circulated 15 13 10 17.608158111572266 7.755274295806885 0
a 15 14 1 5.309959411621094 6.346767902374268 1.4085063934326172
teddy 15 15 5 14.40042495727539 9.203253746032715 0
bear 15 16 4 4.504955291748047 7.807847023010254 1.395406723022461
? 15 17 1 1.5704145431518555 5.473273277282715 2.334573745727539
how 16 0 3 10.581571578979492 3.88847279548645 0
did 16 1 3 3.905769109725952 7.624868869781494 0
<unk> 16 2 5 4.23358154296875 7.898038387298584 0
think 16 3 5 13.332565307617188 7.721424579620361 0.17661380767822266
that 16 4 4 3.585902214050293 7.177012920379639 0.5444116592407227
the 16 5 3 5.381509304046631 7.345978736877441 0
movie 16 6 5 10.434109687805176 10.248528480529785 0
is 16 7 2 5.616769790649414 8.006755828857422 2.2417726516723633
directed 16 8 8 13.52031421661377 5.50437068939209 2.502385139465332
by 16 9 2 4.917124271392822 5.208628177642822 0.2957425117492676
<unk> 16 10 5 3.0101988315582275 8.0624361038208 0
analysis 16 11 8 15.87968921661377 6.02570915222168 2.036726951599121
? 16 12 1 3.718463659286499 6.1549530029296875 0
how 17 0 3 10.581571578979492 3.88847279548645 0
does 17 1 4 5.690568923950195 7.624868869781494 0
the 17 2 3 4.701126575469971 7.4730224609375 0.15184640884399414
open 17 3 4 11.239209175109863 10.40384292602539 0
window 17 4 6 9.631210327148438 9.515454292297363 0.8883886337280273
claim 17 5 5 15.822476387023926 7.397383689880371 2.118070602416992
that 17 6 4 2.720806121826172 7.088435649871826 0.3089480400085449
it 17 7 2 7.338532447814941 7.635769844055176 0
has 17 8 3 6.4856719970703125 7.357695579528809 0.2780742645263672
a 17 9 1 3.2832584381103516 7.5550761222839355 0
ring 17 10 4 10.685331344604492 9.79287338256836 0
and 17 11 3 6.976243495941162 6.408267021179199 3.38460636138916
a 17 12 1 4.004862308502197 6.138723850250244 0.2695431709289551
salad 17 13 5 15.66162395477295 9.303683280944824 0
? 17 14 1 2.8754630088806152 7.216269016265869 2.087414264678955
how 18 0 3 10.581571578979492 3.88847279548645 0
did 18 1 3 3.905769109725952 7.624868869781494 0
the 18 2 3 4.97847318649292 7.898038387298584 0
circulating 18 3 11 14.374274253845215 10.462618827819824 0
rumour 18 4 6 14.709450721740723 9.351570129394531 1.111048698425293
claim 18 5 5 12.92056941986084 6.213511943817139 3.1380581855773926
an 18 6 2 9.036848068237305 6.406897068023682 0
experience 18 7 10 9.800960540771484 8.955904960632324 0
that 18 8 4 2.2286911010742188 6.850749969482422 2.1051549911499023
she 18 9 3 5.792052268981934 8.10158634185791 0
bought 18 10 6 11.669562339782715 7.66363000869751 0.4379563331604004
a 18 11 1 5.648446083068848 5.954829216003418 1.7088007926940918
cup 18 12 3 11.157102584838867 9.54835319519043 0
of 18 13 2 5.318437099456787 7.2129130363464355 2.335440158843994
coffee 18 14 6 5.314339637756348 6.735063552856445 0.47784948348999023
? 18 15 1 4.121187686920166 7.787032604217529 0
how 19 0 3 10.581571578979492 3.88847279548645 0
does 19 1 4 5.690568923950195 7.624868869781494 0
<unk> 19 2 5 4.393003940582275 7.4730224609375 0.15184640884399414
claim 19 3 5 13.86254596710205 7.914114475250244 0
that 19 4 4 2.209371566772461 6.267310619354248 1.646803855895996
she 19 5 3 5.249227523803711 7.449202060699463 0
can 19 6 3 8.199196815490723 7.2236199378967285 0.22558212280273438
buy 19 7 3 8.261958122253418 8.17145824432373 0
a 19 8 1 4.666269779205322 6.403249740600586 1.7682085037231445
story 19 9 5 10.018264770507812 9.286639213562012 0
and 19 10 3 6.7146992683410645 6.314254283905029 2.9723849296569824
possibilities 19 11 13 17.29214096069336 6.1571364402771 0.1571178436279297
? 19 12 1 3.6255033016204834 6.018834114074707 0.13830232620239258
how 20 0 3 10.581571578979492 3.88847279548645 0
does 20 1 4 5.690568923950195 7.624868869781494 0
the 20 2 3 4.701126575469971 7.4730224609375 0.15184640884399414
wonder 20 3 6 12.883193969726562 10.40384292602539 0
know 20 4 4 11.700984001159668 7.763431549072266 2.640411376953125
that 20 5 4 2.915815830230713 6.378834247589111 1.3845973014831543
it 20 6 2 7.590237617492676 7.134796619415283 0
asked 20 7 5 13.290175437927246 6.936743259429932 0.19805335998535156
for 20 8 3 5.191924095153809 5.636080265045166 1.3006629943847656
an 20 9 2 7.220150470733643 6.579208850860596 0
announced 20 10 9 15.892729759216309 8.311161994934082 0
plan 20 11 4 9.864762306213379 9.280444145202637 0
? 20 12 1 3.905075788497925 5.22769021987915 4.052753925323486
how 21 0 3 10.581571578979492 3.88847279548645 0
did 21 1 3 3.905769109725952 7.624868869781494 0
the 21 2 3 4.97847318649292 7.898038387298584 0
extravagant 21 3 11 15.962770462036133 10.462618827819824 0
gift 21 4 4 10.12824821472168 10.30337142944336 0.15924739837646484
claim 21 5 5 15.08487606048584 6.222529888153076 4.080841541290283
that 21 6 4 2.7139458656311035 6.713787078857422 0
it 21 7 2 7.654607772827148 7.0620293617248535 0
went 21 8 4 10.359467506408691 7.139786720275879 0
to 21 9 2 3.390803098678589 5.588061809539795 1.551724910736084
the 21 10 3 4.612565040588379 6.843899726867676 0
sleepy 21 11 6 16.57383155822754 9.647185325622559 0
<unk> 21 12 5 3.2754170894622803 8.880675315856934 0.766510009765625
store 21 13 5 13.379873275756836 8.088086128234863 0.7925891876220703
? 21 14 1 3.7743430137634277 6.7895188331604 1.298567295074463
how 22 0 3 10.581571578979492 3.88847279548645 0
does 22 1 4 5.690568923950195 7.624868869781494 0
the 22 2 3 4.701126575469971 7.4730224609375 0.15184640884399414
scandalous 22 3 10 17.088241577148438 10.40384292602539 0
phone 22 4 5 12.392511367797852 10.076488494873047 0.32735443115234375
think 22 5 5 15.135590553283691 6.715740203857422 3.360748291015625
that 22 6 4 3.667652130126953 7.198207855224609 0
the 22 7 3 5.666140556335449 7.241930961608887 0
new 22 8 3 8.503954887390137 10.159893989562988 0
girl 22 9 4 11.09172248840332 9.374065399169922 0.7858285903930664
is 22 10 2 6.185842990875244 7.087458610534668 2.286606788635254
discreet 22 11 8 20.141223907470703 6.101296424865723 0.9861621856689453
in 22 12 2 7.231957912445068 5.362509727478027 0.7387866973876953
school 22 13 6 10.430285453796387 7.290521144866943 0
? 22 14 1 2.457930326461792 5.651932239532471 1.6385889053344727
how 23 0 3 10.581571578979492 3.88847279548645 0
did 23 1 3 3.905769109725952 7.624868869781494 0
the 23 2 3 4.97847318649292 7.898038387298584 0
funny 23 3 5 13.060752868652344 10.462618827819824 0
bean 23 4 4 15.33756160736084 9.341005325317383 1.1216135025024414
think 23 5 5 14.202615737915039 8.482894897460938 0.8581104278564453
that 23 6 4 3.7382547855377197 7.0977582931518555 1.385136604309082
it 23 7 2 7.553522109985352 7.294498443603516 0
went 23 8 4 10.316629409790039 6.990504741668701 0.30399370193481445
home 23 9 4 10.39581298828125 5.427162170410156 1.563342571258545
today 23 10 5 11.790995597839355 4.806013107299805 0.6211490631103516
? 23 11 1 1.9043941497802734 4.998357772827148 0
how 24 0 3 10.581571578979492 3.88847279548645 0
does 24 1 4 5.690568923950195 7.624868869781494 0
someone 24 2 7 9.601311683654785 7.4730224609375 0.15184640884399414
who 24 3 3 4.086310386657715 5.855407238006592 1.6176152229309082
eats 24 4 4 16.274415969848633 8.279881477355957 0
a 24 5 1 4.434473991394043 7.3978118896484375 0.8820695877075195
silly 24 6 5 15.001018524169922 9.875131607055664 0
phone 24 7 5 14.351741790771484 8.28880786895752 1.5863237380981445
wonder 24 8 6 16.46493148803711 5.439249515533447 2.8495583534240723
by 24 9 2 9.293456077575684 6.134883403778076 0
<unk> 24 10 5 3.733644962310791 8.253804206848145 0
? 24 11 1 2.464203119277954 5.637158393859863 2.6166458129882812
